candidate_pair_id,product_id_a,retailer_a,raw_name_a,canonical_brand_a,product_type_a,category_family_a,total_quantity_a,quantity_type_a,package_type_a,is_private_label_a,overall_confidence_a,needs_review_a,product_id_b,retailer_b,raw_name_b,canonical_brand_b,product_type_b,category_family_b,total_quantity_b,quantity_type_b,package_type_b,is_private_label_b,overall_confidence_b,needs_review_b,blocking_reasons_json,shared_tokens_json,candidate_priority,title_similarity,brand_score,product_type_score,category_score,quantity_score,package_score,attribute_score,private_label_score,confidence_score,blocking_strength_score,equivalence_score,substitute_score,hard_conflicts_json,match_type,route,match_explanation
cand_000013,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0073,whole_foods,365 Organic Coconut Milk Can 13.5 fl oz,365,milk,dairy_milk,13.5,volume,can,True,0.787,True,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.557,0.85,1.0,1.0,0.0,0.7,0.75,1.0,0.8535,1.0,0.6561,0.7257,"[""pack_size_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000014,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0147,whole_foods,365 Plain Whole Milk Yogurt 32 oz,365,milk,dairy_milk,32.0,weight,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.4932,0.85,1.0,1.0,0.25,0.7,0.4,1.0,0.92,1.0,0.6615,0.6868,"[""organic_conflict"", ""pack_size_conflict"", ""quantity_type_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000015,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0001,walmart,Great Value Organic Whole Milk 1 gal,Great Value,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.7143,0.85,1.0,1.0,1.0,0.7,1.0,1.0,0.92,1.0,0.9046,0.9414,[],private_label_equivalent,auto_accept_equivalent,"Matched as private_label_equivalent because both products are retailer private labels with the same product type, compatible quantity, and compatible key attributes."
cand_000016,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0002,walmart,Great Value Whole Milk 1 gal,Great Value,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.6,0.85,1.0,1.0,1.0,0.7,0.4,1.0,0.92,1.0,0.8275,0.81,"[""organic_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000017,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0003,walmart,Great Value 2% Reduced Fat Milk 0.5 gal,Great Value,milk,dairy_milk,64.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.4051,0.85,1.0,1.0,0.0,0.7,0.0,1.0,0.92,1.0,0.5583,0.5605,"[""organic_conflict"", ""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000018,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0036,walmart,"Horizon Organic Whole Milk, 64 fl oz",Horizon Organic,milk,dairy_milk,64.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.6579,0.5,1.0,1.0,0.0,0.7,1.0,0.0,0.92,0.45,0.6162,0.7308,"[""pack_size_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000019,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0037,walmart,Horizon Organic 2% Reduced Fat Milk 1 gal,Horizon Organic,milk,dairy_milk,128.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.5679,0.5,1.0,1.0,1.0,0.7,0.4,0.0,0.92,1.0,0.7702,0.8068,[],substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000020,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0038,walmart,"Fairlife Lactose Free 2% Ultra-Filtered Milk, 52 fl oz",Fairlife,milk,dairy_milk,52.0,volume,unknown,False,0.858,True,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.383,0.5,1.0,1.0,0.0,0.7,0.4,0.0,0.889,0.45,0.5149,0.5833,"[""organic_conflict"", ""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000021,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0078,walmart,Great Value 2% Reduced Fat Milk 1 gal,Great Value,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.4416,0.85,1.0,1.0,1.0,0.7,0.0,1.0,0.92,1.0,0.7637,0.7142,"[""organic_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000022,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0083,walmart,Great Value Whole Milk Mozzarella Shredded 16 oz,Great Value,milk,dairy_milk,16.0,weight,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.5227,0.85,1.0,1.0,0.25,0.7,0.4,1.0,0.92,1.0,0.6659,0.6898,"[""organic_conflict"", ""pack_size_conflict"", ""quantity_type_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000023,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0179,walmart,"Great Value Plain Whole Milk Yogurt, 32 oz",Great Value,milk,dairy_milk,32.0,weight,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.561,0.85,1.0,1.0,0.25,0.7,0.4,1.0,0.92,1.0,0.6717,0.6936,"[""organic_conflict"", ""pack_size_conflict"", ""quantity_type_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000024,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0001,target,Good & Gather Organic Whole Milk 1 Gal,Good & Gather,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.6301,0.85,1.0,1.0,1.0,0.7,0.4,1.0,0.92,1.0,0.832,0.813,"[""organic_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000025,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0002,target,"Good & Gather Whole Milk, 1 Gallon",Good & Gather,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.6667,0.85,1.0,1.0,1.0,0.7,1.0,1.0,0.92,1.0,0.8975,0.9367,[],private_label_equivalent,auto_accept_equivalent,"Matched as private_label_equivalent because both products are retailer private labels with the same product type, compatible quantity, and compatible key attributes."
cand_000026,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0041,target,Horizon Organic Whole Milk - 0.5 Gal,Horizon Organic,milk,dairy_milk,64.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.5915,0.5,1.0,1.0,0.0,0.7,0.4,0.0,0.92,0.45,0.5462,0.6042,"[""organic_conflict"", ""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000027,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0042,target,Horizon Organic 2% Reduced Fat Milk - 1 Gal,Horizon Organic,milk,dairy_milk,128.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.5128,0.5,1.0,1.0,1.0,0.7,0.0,0.0,0.92,1.0,0.7219,0.7213,"[""organic_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000028,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0043,target,Fairlife Lactose Free 2% Reduced Fat Ultra Filtered Milk - 52 fl oz,Fairlife,milk,dairy_milk,52.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.4118,0.5,1.0,1.0,0.0,0.7,0.4,0.0,0.92,0.45,0.5193,0.5862,"[""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000029,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0088,target,Good & Gather Organic Whole Milk 1/2 Gal,Good & Gather,milk,dairy_milk,64.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.64,0.85,1.0,1.0,0.0,0.7,0.4,1.0,0.92,1.0,0.6335,0.664,"[""organic_conflict"", ""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000030,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0180,target,Market Pantry Plain Whole Milk Yogurt - 32 oz,Market Pantry,milk,dairy_milk,32.0,weight,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.575,0.85,1.0,1.0,0.25,0.7,1.0,1.0,0.92,1.0,0.7338,0.815,"[""pack_size_conflict"", ""quantity_type_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000031,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0001,whole_foods,"365 Organic Whole Milk, 128 fl oz",365,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.5,0.85,1.0,1.0,1.0,0.7,0.4,1.0,0.92,1.0,0.8125,0.8,"[""organic_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000032,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0002,whole_foods,365 Whole Milk 1 Gallon,365,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.9048,0.85,1.0,1.0,1.0,0.7,1.0,1.0,0.92,1.0,0.9332,0.9605,[],private_label_equivalent,auto_accept_equivalent,"Matched as private_label_equivalent because both products are retailer private labels with the same product type, compatible quantity, and compatible key attributes."
cand_000033,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0003,whole_foods,365 2% Reduced Fat Milk 64 fl oz,365,milk,dairy_milk,64.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.4478,0.85,1.0,1.0,0.0,0.7,0.4,1.0,0.92,1.0,0.6047,0.6448,"[""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000034,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0027,whole_foods,Horizn 0rganic Whole Milk 64 fl oz,Horizon Organic,milk,dairy_milk,64.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.5507,0.5,1.0,1.0,0.0,0.7,1.0,0.0,0.92,0.45,0.6001,0.7201,"[""pack_size_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000035,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0066,whole_foods,Stonyfield Organic Whole Milk Yogurt 32 oz,Stonyfield,milk,dairy_milk,32.0,weight,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.5714,0.5,1.0,1.0,0.25,0.7,0.4,0.0,0.92,0.45,0.5932,0.6396,"[""organic_conflict"", ""pack_size_conflict"", ""quantity_type_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000036,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0073,whole_foods,365 Organic Coconut Milk Can 13.5 fl oz,365,milk,dairy_milk,13.5,volume,can,True,0.787,True,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.4865,0.85,1.0,1.0,0.0,0.7,0.4,1.0,0.8535,1.0,0.6105,0.6487,"[""organic_conflict"", ""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000037,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0147,whole_foods,365 Plain Whole Milk Yogurt 32 oz,365,milk,dairy_milk,32.0,weight,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.6176,0.85,1.0,1.0,0.25,0.7,1.0,1.0,0.92,1.0,0.7401,0.8193,"[""pack_size_conflict"", ""quantity_type_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000038,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0001,walmart,Great Value Organic Whole Milk 1 gal,Great Value,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.5634,0.85,1.0,1.0,1.0,0.7,0.4,1.0,0.92,1.0,0.822,0.8063,"[""organic_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000039,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0002,walmart,Great Value Whole Milk 1 gal,Great Value,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.6,0.85,1.0,1.0,1.0,0.7,1.0,1.0,0.92,1.0,0.8875,0.93,[],private_label_equivalent,auto_accept_equivalent,"Matched as private_label_equivalent because both products are retailer private labels with the same product type, compatible quantity, and compatible key attributes."
cand_000040,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0003,walmart,Great Value 2% Reduced Fat Milk 0.5 gal,Great Value,milk,dairy_milk,64.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.4595,0.85,1.0,1.0,0.0,0.7,0.4,1.0,0.92,1.0,0.6064,0.646,"[""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000041,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0036,walmart,"Horizon Organic Whole Milk, 64 fl oz",Horizon Organic,milk,dairy_milk,64.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.507,0.5,1.0,1.0,0.0,0.7,0.4,0.0,0.92,0.45,0.5335,0.5957,"[""organic_conflict"", ""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000042,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0037,walmart,Horizon Organic 2% Reduced Fat Milk 1 gal,Horizon Organic,milk,dairy_milk,128.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.4737,0.5,1.0,1.0,1.0,0.7,0.0,0.0,0.92,1.0,0.7161,0.7174,"[""organic_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000043,kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wm_0038,walmart,"Fairlife Lactose Free 2% Ultra-Filtered Milk, 52 fl oz",Fairlife,milk,dairy_milk,52.0,volume,unknown,False,0.858,True,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.4494,0.5,1.0,1.0,0.0,0.7,0.75,0.0,0.889,0.45,0.5599,0.6599,"[""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
